symbol,Report Date,Publish Date,eps_diluted,Operating Income (Loss),Net Income,Revenue,total_equity,total_debt,cash,enterprise_value_proxy,ebit_over_tev,return_on_equity,net_profit_margin,profitability_to_book_proxy
ABT,2024-03-31,2024-05-02,0.7001392276864199,1386000000.0,1225000000.0,9964000000.0,39043000000.0,14586000000.0,6651000000.0,46978000000.0,0.02950317169739027,0.03137566273083523,0.12294259333600964,0.03137566273083523
ABT,2024-06-30,2024-07-31,0.7435101330380612,1669000000.0,1302000000.0,10377000000.0,39560000000.0,14754000000.0,7219000000.0,47095000000.0,0.0354390062639346,0.03291203235591507,0.12546978895634575,0.03291203235591507
ABT,2024-09-30,2024-10-31,0.9418647434162453,1859000000.0,1646000000.0,10635000000.0,40028000000.0,14979000000.0,7788000000.0,47219000000.0,0.03936974522967449,0.04112121514939542,0.15477197931358722,0.04112121514939542
ABT,2024-12-31,2025-02-21,5.293077876895936,1911000000.0,9229000000.0,10974000000.0,47901000000.0,14125000000.0,7967000000.0,54059000000.0,0.03535026545071126,0.19266821151959249,0.8409877893202115,0.19266821151959249
ABT,2025-03-31,2025-04-30,0.7583475463879763,1693000000.0,1325000000.0,10358000000.0,49064000000.0,13242000000.0,6844000000.0,55462000000.0,0.0305254047816523,0.027005543779553238,0.1279204479629272,0.027005543779553238
ACN,2020-08-31,2020-10-22,1.989519615345834,1544703000.0,1287929000.0,10835271000.0,17499173000.0,61872000.0,8509639000.0,9051406000.0,0.1706589009486482,0.07359942095549316,0.11886449355996725,0.07359942095549316
ACN,2020-11-30,2020-12-17,2.319250269913,1890669000.0,1500276000.0,11762185000.0,18426216000.0,68806000.0,8677151000.0,9817871000.0,0.19257423528991163,0.08142073228708488,0.1275507909457299,0.08142073228708488
ACN,2021-02-28,2021-03-18,2.229320968902438,1653515000.0,1440859000.0,12088125000.0,18842427000.0,68363000.0,9170096000.0,9740694000.0,0.16975330505198089,0.07646886465315747,0.11919623597538907,0.07646886465315747
ACN,2021-05-31,2021-06-24,2.400521105437501,2118656000.0,1549426000.0,13263795000.0,19893964000.0,70786000.0,10013813000.0,9950937000.0,0.21291020132073996,0.07788422659254837,0.11681619023816336,0.07788422659254837
ACN,2021-08-31,2021-10-15,2.1957997315937443,1958689000.0,1416248000.0,13419284000.0,20097114000.0,65553000.0,8172468000.0,11990199000.0,0.16335750557601253,0.07047021776360526,0.10553826865874513,0.07047021776360526
ACN,2021-11-30,2021-12-16,2.775542199668426,2434294000.0,1791024000.0,14965153000.0,20938658000.0,64973000.0,5644085000.0,15359546000.0,0.15848736674899114,0.08553671395750387,0.11967963174182047,0.08553671395750387
ACN,2022-02-28,2022-03-17,2.5336625947001803,2061580000.0,1634942000.0,15046693000.0,21156979000.0,61244000.0,5472147000.0,15746076000.0,0.13092658767809834,0.07727672273059401,0.10865789579145398,0.07727672273059401
ACN,2022-05-31,2022-06-23,2.786367846848733,2603118000.0,1786075000.0,16158803000.0,22011723000.0,60314000.0,6707890000.0,15364147000.0,0.16942808474821283,0.08114198965705684,0.11053263041823086,0.08114198965705684
ACN,2022-08-31,2022-10-12,2.5902714850232504,2268189000.0,1665128000.0,15423656000.0,20655706000.0,55068000.0,7893806000.0,12816968000.0,0.17696767285367335,0.08061346341780813,0.1079593580147275,0.08061346341780813
ACN,2022-11-30,2022-12-16,3.076161653048664,2593100000.0,1964950000.0,15747802000.0,23665950000.0,54552000.0,5903798000.0,17816704000.0,0.14554319362324256,0.08302857058347542,0.12477614336273722,0.08302857058347542
ACN,2023-02-28,2023-03-23,2.3891539091158167,2188971000.0,1523648000.0,15814158000.0,22821123000.0,55970000.0,6242976000.0,16634117000.0,0.1315952629165708,0.06676481258174718,0.0963470834172771,0.06676481258174718
ACN,2023-05-31,2023-06-22,3.146797122301221,2706161000.0,2009996000.0,16564585000.0,24031353000.0,54254000.0,8539928000.0,15545679000.0,0.17407801872147238,0.083640567387113,0.12134297357887323,0.083640567387113
ACN,2023-08-31,2023-10-12,2.147774731999219,2384803000.0,1372963000.0,15985200000.0,24055219000.0,147903000.0,9049607000.0,15153515000.0,0.1573762259119419,0.057075472894260494,0.0858896354127568,0.057075472894260494
ACN,2023-11-30,2023-12-19,3.0960920528629976,2704551000.0,1973444000.0,16224303000.0,27485437000.0,147128000.0,7145438000.0,20487127000.0,0.1320122143041335,0.07179962246916431,0.12163505575555388,0.07179962246916431
ACN,2024-02-29,2024-03-21,2.630126805052129,2161836000.0,1674859000.0,15799514000.0,26093086000.0,182776000.0,5125647000.0,21150215000.0,0.10221342903606417,0.06418784654295011,0.10600699489870384,0.06418784654295011
ACN,2024-05-31,2024-06-20,3.039899159669736,2708285000.0,1932183000.0,16466828000.0,26377620000.0,1678903000.0,5542095000.0,22514428000.0,0.1202910862314601,0.07325084674053231,0.1173378989566175,0.07325084674053231
ACN,2024-08-31,2024-10-10,2.6571144633717187,2459615000.0,1684301000.0,16405819000.0,26553640000.0,1024857000.0,5009865000.0,22568632000.0,0.10898378776347631,0.06343013613199547,0.10266485324505896,0.06343013613199547
ACN,2024-11-30,2024-12-19,3.5907523568540025,2948477000.0,2278894000.0,17689545000.0,27325000000.0,5153781000.0,8311205000.0,24167576000.0,0.12200135421111327,0.08339959743824336,0.1288271688163828,0.08339959743824336
ACN,2025-02-28,2025-03-20,2.8193649158736007,2244714000.0,1788075000.0,16659301000.0,30181948000.0,5157290000.0,8495500000.0,26843738000.0,0.08362151351648567,0.05924319397806928,0.10733193427503351,0.05924319397806928
ADBE,2020-08-31,2020-08-24,1.9650205761316872,1069000000.0,955000000.0,3225000000.0,,,,0.0,,,0.2961240310077519,
ADBE,2020-11-30,2021-01-15,4.639175257731959,1215000000.0,2250000000.0,3424000000.0,13264000000.0,4117000000.0,5992000000.0,11389000000.0,0.10668188603038019,0.16963208685162848,0.657126168224299,0.16963208685162848
ADBE,2021-02-28,2021-03-31,2.610766045548654,1454000000.0,1261000000.0,3905000000.0,13546000000.0,4119000000.0,4963000000.0,12702000000.0,0.11447016217918438,0.09309021113243762,0.3229193341869398,0.09309021113243762
ADBE,2021-05-31,2021-06-30,2.31055900621118,1406000000.0,1116000000.0,3835000000.0,13852000000.0,4120000000.0,5768000000.0,12204000000.0,0.11520812848246477,0.08056598325151602,0.2910039113428944,0.08056598325151602
ADBE,2021-08-31,2021-09-29,2.5197505197505197,1441000000.0,1212000000.0,3935000000.0,14414000000.0,4122000000.0,6164000000.0,12372000000.0,0.11647268024571614,0.08408491744137644,0.308005082592122,0.08408491744137644
ADBE,2021-11-30,2022-01-21,2.5634095634095635,1501000000.0,1233000000.0,4110000000.0,14797000000.0,4123000000.0,5798000000.0,13122000000.0,0.11438805060204237,0.08332770156112726,0.3,0.08332770156112726
